"first_name","last_name","years"
"Maya","Ghemri","1986"
"Eishiro","Dichev","1986"
"Hausi","Kambil","1986"
"Feipei","Clouatre","1986"
"Susumu","Kuszyk","1986"
"Stein","Kulisch","1986"
"Gen","Lundstrom","1986"
"Reinhard","Serre","1986"
"Alain","Fujisaki","1986"
"Alain","Dratva","1986"
"Claudi","Spieker","1986"
"Dulce","Ebeling","1986"
"Jayson","Perri","1986"
"Steen","Hofman","1986"
"Mads","Legleitner","1986"
"Gio","Schauser","1986"
"Takanari","Beznosov","1986"
"Gita","Dichev","1986"
"Barna","Mamelak","1986"
"Junsik","Sinitsyn","1986"
"Snehasis","Anily","1986"
"Behnaam","Schwartzbauer","1986"
"Shem","Petersohn","1986"
"Mokhtar","Chiodo","1986"
"Serif","Streit","1986"
"Teiji","Marrakchi","1986"
"Nathan","Denny","1986"
"Hauke","Giaccio","1986"
"Aral","Baik","1986"
"Seongbin","Poupard","1986"
"Tze","Chinin","1986"
"Joydip","Terkki","1986"
"Jeanne","Zlotek","1986"
"Mikhail","Karner","1986"
"Guenter","Schneeberger","1986"
"Boriana","Mukaidono","1986"
"Kristen","Avouris","1986"
"Insup","Copas","1986"
"Mayumi","Wuwongse","1986"
"Dipankar","Riesenhuber","1986"
"Shichao","Syrzycki","1986"
"Marin","Sidje","1986"
"Boguslaw","Luks","1986"
"Shigeu","Kieras","1986"
"Isamu","Kobuchi","1986"
"Xuedong","Sgarro","1986"
"Ghassan","Walston","1986"
"Armond","Karunanithi","1986"
"Munehiko","Beznosov","1986"
"Kristen","Salverda","1986"
"Kwok","Valiente","1986"
"Mikhail","Salvesen","1986"
"Jaques","Usery","1986"
"Gunilla","Legleitner","1986"
"Ibibia","Dayang","1986"
"Richard","Godskesen","1986"
"Rimli","Bellone","1986"
"Hisao","Lodder","1986"
"Pascal","Leslie","1986"
"Jianwen","Baranowski","1986"
"Gennadi","Beznosov","1986"
"Serge","Sifakis","1986"
"Yuuichi","Sadowski","1986"
"Filipe","Ramamoorthy","1986"
"Billur","Fiutem","1986"
"Vidya","Dymetman","1986"
"Sigeru","Langford","1986"
"Marjo","Cools","1986"
"Boriana","Wendorf","1986"
"Shai","Olano","1986"
"Boalin","Zhang","1986"
"Mario","Narahari","1986"
"Naftali","Syang","1986"
"Lijia","Birta","1986"
"Uli","Ranum","1986"
"Gay","Khamsi","1986"
"Arne","Geffroy","1986"
"Mrinalini","Muntz","1986"
"Feipei","Ligten","1986"
"Charlene","Fabrizio","1986"
"Kazuyasu","Pileggi","1986"
"Temple","Zastre","1986"
"Guther","Huxford","1986"
"Yinghua","Petersohn","1986"
"Steve","Munoz","1986"
"Mads","Ramalingam","1986"
"Xuedong","Fujisaki","1986"
"Beshir","Serre","1986"
"Ottavia","Perl","1986"
"Abdelwaheb","Basawa","1986"
"Xuedong","Rossi","1986"
"Shawna","Leuchs","1986"
"Harngdar","Gire","1986"
"Constantine","Hedayat","1986"
"Barton","Jenevein","1986"
"Clyde","Perly","1986"
"Yunming","Papsdorf","1986"
"Tsz","Suppi","1986"
"Georgi","Osgood","1986"
"Sandeepan","Sessa","1986"
"Ramzi","Thiria","1986"
"Demos","Bahi","1986"
"Boriana","Lunn","1986"
"Ziya","Cronau","1986"
"Lalit","Pellegrinelli","1986"
"Sedat","Kuhnemann","1986"
"Shay","Ranon","1986"
"Mansur","Weiland","1986"
"Zhanqiu","Merkl","1986"
"Samphel","Tchuente","1986"
"Gao","Zizka","1986"
"Masali","Dichev","1986"
"Yurii","Tetzlaff","1986"
"Adin","Kleiser","1986"
"Conor","Hofting","1986"
"Petter","Serra","1986"
"Jamaludin","Remmele","1986"
"Vasilii","Karunanithi","1986"
"Boutros","Lorys","1986"
"Jiakeng","Suermann","1986"
"Petter","Thummel","1986"
"Kwok","Puoti","1986"
"Lihong","Munke","1986"
"Khue","Ramsak","1986"
"Udo","Tetzlaff","1986"
"Christoph","Stavenow","1986"
"Yuichiro","Lund","1986"
"Danel","Danecki","1986"
"Kenroku","Piazza","1986"
"Lijia","Selvestrel","1986"
"Bodo","Bergere","1986"
"Shridhar","Krychniak","1986"
"Maik","Sevcikova","1986"
"Temple","Alpin","1986"
"Arnould","Farrar","1986"
"Arco","Granlund","1986"
"Quingbo","Leijenhorst","1986"
"Wojceich","Benveniste","1986"
"Charlene","Steenbeek","1986"
"Fumino","Biran","1986"
"Youssef","Zeidenstein","1986"
"Danae","Hebert","1986"
"Teruyuki","Angelov","1986"
"Maren","Parascandalo","1986"
"JoAnne","Caine","1986"
"Jayson","Zumaque","1986"
"Hilary","Ghazalie","1986"
"Pradeep","Genther","1986"
"Woody","Guerreiro","1986"
"Kensei","Gist","1986"
"Zvonko","Boguraev","1986"
"Yongmin","Kusakabe","1986"
"Lihong","Zwicker","1986"
"Dietrich","Farrow","1986"
"Rosalyn","Picaronny","1986"
"Jingling","Schaaf","1986"
"Wojceich","Bugaenko","1986"
"Gill","Liesche","1986"
"Yoshimitsu","Sgarro","1986"
"Toong","Mitchem","1986"
"Hercules","Ghalwash","1986"
"Keiichiro","Szilard","1986"
"Kellyn","Brookman","1986"
"Monique","Radwan","1986"
"Souichi","Fasbender","1986"
"Xiping","Sewelson","1986"
"Gil","Teitelbaum","1986"
"Jaideep","Whittlesey","1986"
"Hilari","Fairtlough","1986"
"Zejun","Massonet","1986"
"Amstein","Kugler","1986"
"Atreyi","Rousseau","1986"
"Behnaam","Docker","1986"
"Duangkaew","Baaz","1986"
"Shigehito","Matzat","1986"
"Giordano","Bultermann","1986"
"Ute","Ferriere","1986"
"Fuqing","Valette","1986"
"Avishai","Brodie","1986"
"Vishwani","Thorensen","1986"
"Shugo","Reghbati","1986"
"Roselyn","Rosin","1986"
"Ayakannu","Krogh","1986"
"Qunsheng","Hanratty","1986"
"Sven","Veccia","1986"
"Ennio","Eterovic","1986"
"Sadegh","Katalagarianos","1986"
"Neelam","Camurati","1986"
"Mani","Bolsens","1986"
"Ohad","Sridhar","1986"
"Suzette","Schneeberger","1986"
"Mizuhito","Heping","1986"
"Paraskevi","Merlo","1986"
"Arunachalam","Milicia","1986"
"Nechama","Yeung","1986"
"Alselm","Foote","1986"
"Tsutomu","Baik","1986"
"Leni","Osgood","1986"
"Petter","Talmon","1986"
"Mang","Basawa","1986"
"Basem","Smailagic","1986"
"Takahira","Kusalik","1986"
"Berthier","Pietrzykowski","1986"
"Oldrich","Rotem","1986"
"Kerhong","Rothenberg","1986"
"Deborah","Ferretti","1986"
"Xiaobin","Kitsuregawa","1986"
"Dekang","Prampolini","1986"
"Maria","Taubenfeld","1986"
"Mohan","Sadowski","1986"
"Xinyu","Heusch","1986"
"Ioana","Gecsei","1986"
"Alejandra","Doering","1986"
"Arup","Hemaspaandra","1986"
"Leon","Ruther","1986"
"Yuping","Hofman","1986"
"Mani","Barreiro","1986"
"Tonia","Jenevein","1986"
"Kristin","Schlegelmilch","1986"
"Maren","Hellwagner","1986"
"Bodo","Schade","1986"
"Eckart","Burnard","1986"
"Stepehn","Luca","1986"
"Fabrizio","Erol","1986"
"Lokesh","Kulisch","1986"
"Abdelkader","Welham","1986"
"Khun","Kobara","1986"
"Jackson","Lorch","1986"
"Gal","Melski","1986"
"Xuejun","Baig","1986"
"Amalendu","Gronowski","1986"
"Aamer","Belinskaya","1986"
"Jaideep","Chinal","1986"
"Kazuhira","Holburn","1986"
"Masaki","Cyre","1986"
"Kiyokazu","Copas","1986"
"Theron","Aamodt","1986"
"Takushi","Georg","1986"
"Aiichiro","Poupard","1986"
"Alassane","Conte","1986"
"Jamaludin","Masamoto","1986"
"Shahid","Tanemo","1986"
"Oksana","Riesenhuber","1986"
"Xuejun","Marrevee","1986"
"Youngkon","Kugler","1986"
"Mohan","Auyong","1986"
"Jiafu","Gulak","1986"
"Piyawadee","England","1986"
"Genta","Baca","1986"
"Gil","Roisin","1986"
"Parke","Marquardt","1986"
"Boguslaw","Wolniewicz","1986"
"Jinpo","Pusterhofer","1986"
"Junsik","Griswold","1986"
"Oldrich","Holburn","1986"
"Manu","Ellozy","1986"
"Kankanahalli","Tokunaga","1986"
"Leaf","Soicher","1986"
"Tua","Kadhim","1986"
"Bojan","Diderrich","1986"
"Haldon","Schoegge","1986"
"Radhakrishnan","Antonisse","1986"
"Abdelaziz","Klyachko","1986"
"Elvis","Kohling","1986"
"Frederique","Toyoshima","1986"
"Otilia","Ritzmann","1986"
"Sumant","Rossi","1986"
"Takahiro","Shinomoto","1986"
"Olivera","Langford","1986"
"Laurentiu","Halevi","1986"
"Herb","Gewali","1986"
"Renny","Zuberek","1986"
"Taiji","Segond","1986"
"Xinan","Yamaashi","1986"
"Kaijung","Raney","1986"
"Bader","Pellegrinelli","1986"
"Reuven","Asmuth","1986"
"Christoph","Gulik","1986"
"Boaz","Belinskaya","1986"
"Mayumi","Czap","1986"
"Marla","Baar","1986"
"Conrado","Deville","1986"
"Giri","Basagni","1986"
"Torsten","Lienhardt","1986"
"Gila","Lamma","1986"
"Christoper","Shackel","1986"
"Mari","Waschkowski","1986"
"Maris","Dratva","1986"
"Wanqing","Vidal","1986"
"Niclas","Buchter","1986"
"Zhigen","Aseltine","1986"
"Marit","McDermid","1986"
"DAIDA","Bruckman","1986"
"Augustine","Gomatam","1986"
"Howell","Takkinen","1986"
"Mari","Kambil","1986"
"Hideo","Maquelin","1986"
"Filipe","Muhlberg","1986"
"Douadi","Schwaller","1986"
"Taiji","Lorie","1986"
"Abdulla","Gerlach","1986"
"Yucel","Kowalchuk","1986"
"Parto","Poupard","1986"
"Kinh","Dengi","1986"
"Christoph","Lovengreen","1986"
"Weicheng","Parascandalo","1986"
"Irene","Kolvik","1986"
"Youjian","Chiola","1986"
"Karsten","Geffroy","1986"
"Stabislas","Luit","1986"
"Pragnesh","Acton","1986"
"Gennadi","Soicher","1986"
"Paddy","Gien","1986"
"Vishwani","Erdmenger","1986"
"Zongyan","Jeansoulin","1986"
"Elrique","Ravishankar","1986"
"Guadalupe","Stavenow","1986"
"Tsvetan","Stranks","1986"
"Khue","Keohane","1986"
"Tayeb","Grospietsch","1986"
"Jingling","Kavanagh","1986"
"Jordanka","Stentiford","1986"
"Eishiro","Khalil","1986"
"Ravishankar","Erez","1986"
"Tzvetan","Zweizig","1986"
"Heather","Hitomi","1986"
"Howell","Kruskal","1986"
"Serif","Adachi","1986"
"Vugranam","Roohalamini","1986"
"Goo","Wroclawski","1986"
"Subir","Matzel","1986"
"Olivera","Swiss","1986"
"Demin","Byoun","1986"
"Munir","Veldwijk","1986"
"Freyja","Jiafu","1986"
"Mahmut","Skafidas","1986"
"KayLiang","Fargier","1986"
"Billie","Macedo","1986"
"Srinidhi","Vickson","1986"
"Boutros","Ozeri","1986"
"Miyeon","Ullian","1986"
"Make","Schaad","1986"
"Pranjal","Mukaidono","1986"
"Jungsoon","Fadgyas","1986"
"Amabile","Schaaf","1986"
"Nevin","Fadgyas","1986"
"Chuanyi","Schaad","1986"
"Mingsen","Sidou","1986"
"Khaled","Panwar","1986"
"Satosi","Kakkad","1986"
"Ebbe","Ermel","1986"
"Adly","Pelc","1986"
"Anyuan","Bierman","1986"
"Aamod","Shumilov","1986"
"Vasilis","Szilard","1986"
"Flemming","Baba","1986"
"Shigenori","Fadgyas","1986"
"Bodh","Moehrke","1986"
"Ingmar","Massonet","1986"
"Freyja","Chinal","1986"
"Genki","Kragelund","1986"
"Niteen","Ruther","1986"
"Vidya","Lambe","1986"
"Debatosh","Botman","1986"
"Kiam","Botman","1986"
"Akemi","Salvesen","1986"
"Takushi","Kalorkoti","1986"
"Mitsuyuki","Jarecki","1986"
"Anyuan","Cannane","1986"
"Akemi","Fujisaki","1986"
"Zita","Feinberg","1986"
"Erez","Picaronny","1986"
"Karlis","Merkl","1986"
"Alejandro","Liesche","1986"
"Lucien","Riesenhuber","1986"
"Akhilish","Kamber","1986"
"Jaideep","Koshiba","1986"
"Valeri","Kossowski","1986"
"Martina","Perfilyeva","1986"
"Toong","Shinomoto","1986"
"Boutros","Chiodo","1986"
"Chrisa","Zeleznik","1986"
"Kazuhisa","Underwood","1986"
"Luerbio","Nilsson","1986"
"Jiang","Angelov","1986"
"Teiji","Chartres","1986"
"Goetz","Anido","1986"
"Tomokazu","Muhlberg","1986"
"Ult","Eugenio","1986"
"Mohd","Fujisawa","1986"
"Martial","Molenaar","1986"
"Masamitsu","Hiraishi","1986"
"Conrado","Rettelbach","1986"
"Thodoros","Luders","1986"
"Tuval","Lamparter","1986"
"Demin","Daescu","1986"
"Ziva","Fiutem","1986"
"Yagil","Apsitis","1986"
"Khalil","Bolsens","1986"
"Krisda","Thibadeau","1986"
"Tomokazu","Yetim","1986"
"Georgy","Bouloucos","1986"
"Samphel","Uehara","1986"
"Mansur","Riesenhuber","1986"
"Reinhold","Perz","1986"
"Flemming","Kavanagh","1986"
"Serge","Chaudhury","1986"
"Demin","Silva","1986"
"Rasikan","Beetstra","1986"
"Kamakshi","Chachaty","1986"
"Yuguang","Marquardt","1986"
"Heather","Ratzlaff","1986"
"Yinghua","Baca","1986"
"Kwee","Snedden","1986"
"Masanao","Smeets","1986"
"Juichirou","Marshall","1986"
"Mooi","Casley","1986"
"Denny","Ozeki","1986"
"Chriss","Genther","1986"
"Jiann","McFarlan","1986"
"Gila","Schreiter","1986"
"Rasiah","Bouloucos","1986"
"Dung","Zongker","1986"
"Karlis","Chimia","1986"
"Elliott","Pluym","1986"
"Elzbieta","Thiria","1986"
"Zongyan","Linares","1986"
"Moto","Christianini","1986"
"Susanta","Avouris","1986"
"Salvador","Berstel","1986"
"Quingbo","Schurmann","1986"
"Kwun","Figueira","1986"
"Pranav","Chenney","1986"
"Freyja","Oaver","1986"
"Kiyotoshi","Klyachko","1986"
"Douadi","Khalil","1986"
"Bowen","Alvarado","1986"
"Ipke","Daescu","1986"
"Xiaobin","Crooks","1986"
"Oscar","Masaki","1986"
"Jordanka","Demizu","1986"
"Zine","Radhakrishnan","1986"
"Nathan","Haldar","1986"
"Khoa","Maierhofer","1986"
"Sushant","Reghbati","1986"
"Pasqua","Borstler","1986"
"Yoshinari","Pollacia","1986"
"Remmert","Feldhoffer","1986"
"Palash","Onuegbe","1986"
"Shawna","Bardell","1986"
"Pasqua","Marzano","1986"
"Shaowei","Nicolson","1986"
"Junichi","Trelles","1986"
"Mamdouh","Ghandeharizadeh","1986"
"Magy","Assaf","1986"
"Woody","Yavatkar","1986"
"Hidde","Akiyama","1986"
"Berni","Zeleznik","1986"
"Boaz","Giveon","1986"
"Gino","Pashtan","1986"
"Berhard","Tasistro","1986"
"Xianlong","Knightly","1986"
"Conor","Quaggetto","1986"
"Atreye","Redmiles","1986"
"Qunsheng","Birrer","1986"
"Goh","Benaini","1986"
"Giap","Krychniak","1986"
"Bernd","Speek","1986"
"Taiji","Hainaut","1986"
"Lalit","Colorni","1986"
"Zorica","Hiroyama","1986"
"Girolamo","Streit","1986"
"Hailing","Foote","1986"
"Jaewoo","Ratnaker","1986"
"Toshimori","Cronin","1986"
"Frazer","Pellegrinelli","1986"
"Dulce","Meszaros","1986"
"Kerryn","Fargier","1986"
"Aksel","Weiland","1986"
"Frazer","Pleszkun","1986"
"Valeska","Katalagarianos","1986"
"Mohua","Marchesini","1986"
"Susumu","Foote","1986"
"Youjian","Ranta","1986"
"Pranay","Perez","1986"
"Sastry","Jonsson","1986"
"Goetz","Hitomi","1986"
"Kazunori","Pepe","1986"
"Baziley","Motley","1986"
"Gadiel","Krychniak","1986"
"Goetz","Melichar","1986"
"Ghassan","Sgarro","1986"
"Danel","Laurillard","1986"
"Ottavia","Ventosa","1986"
"Gilbert","Trelles","1986"
"Jeanne","Hettesheimer","1986"
"Mayuri","Bernick","1986"
"Ronnie","Rathonyi","1986"
"Khalil","Percebois","1986"
"Leandro","Bondorf","1986"
"Tetsurou","Zschoche","1986"
"Xiadong","Huxford","1986"
"Chriss","Baez","1986"
"Weiye","Bierman","1986"
"Yifei","Merli","1986"
"Siddarth","Baca","1986"
"Stevo","Riexinger","1986"
"Richard","Borovoy","1986"
"Guangming","Takkinen","1986"
"Shuky","Gente","1986"
"Shao","Ramsak","1986"
"Fumiyo","DuCasse","1986"
"Eirik","Paludetto","1986"
"Olivera","Landherr","1986"
"Irena","Rikino","1986"
"Premal","Hanratty","1986"
"Stafford","Panangaden","1986"
"Garnik","Litzkow","1986"
"Moon","Schwabacher","1986"
"Sakthirel","Ramsak","1986"
"Maia","Levasseur","1986"
"Weiwu","Selenyi","1986"
"Yurii","Ranst","1986"
"Teiji","Wuwongse","1986"
"Hsiangchu","Biros","1986"
"Toshimori","Straney","1986"
"Renee","Basart","1986"
"Arvin","Rajaraman","1986"
"Gao","Poehlman","1986"
"Niclas","Dalphin","1986"
"Cordelia","Schwabacher","1986"
"Hitomi","Herber","1986"
"Koldo","Detkin","1986"
"Olivera","Shumilov","1986"
"Elgin","Setia","1986"
"Doowon","Setlzner","1986"
"Marin","Heijenga","1986"
"Shahar","Murtha","1986"
"Anyuan","Hoppenstand","1986"
"Bader","Chorvat","1986"
"Abdulla","Ponthieu","1986"
"Zeydy","Ladret","1986"
"Alain","Linnainmaa","1986"
"Premsyl","Casperson","1986"
"Chiradeep","Ciolek","1986"
"Gou","Gammage","1986"
"Olivera","Thibadeau","1986"
"Tse","Kalsbeek","1986"
"Miomir","Mansanne","1986"
"Subbu","Begiun","1986"
"Parke","Deville","1986"
"Elzbieta","Thorensen","1986"
"Clyde","Swift","1986"
"Subir","Suessmith","1986"
"Sanjiv","Uehara","1986"
"Eldridge","Papadias","1986"
"Szabolcs","Usdin","1986"
"Mack","Erdi","1986"
"Shirish","Osgood","1986"
"Francesca","Basawa","1986"
"Spyrose","Parhami","1986"
"Stamatina","Valtorta","1986"
"Mrinalini","Hennebert","1986"
"Odinaldo","Giaccio","1986"
"Tetsushi","Melski","1986"
"Evgueni","Marshall","1986"
"Bodh","Hiltgen","1986"
"Lobel","Zuberek","1986"
"Pranjal","Worfolk","1986"
"Satoru","Porotnikoff","1986"
"Xiong","Peot","1986"
"Trygve","Birdsall","1986"
"Sangeeta","Rosar","1986"
"Morrie","Smeets","1986"
"Kwangsub","Shimshoni","1986"
"Lorien","Kaelbling","1986"
"Vitaly","Ulupinar","1986"
"Gopalakrishnan","Baba","1986"
"Macha","Chartres","1986"
"Gaetan","Farrar","1986"
"Zhiwei","Selvestrel","1986"
"Patricia","Ullian","1986"
"Uwe","Callaway","1986"
"Suzette","Schlegelmilch","1986"
"Henk","Peltason","1986"
"Tzvetan","Picel","1986"
"Cedric","Kalefeld","1986"
"Sampalli","Ramaiah","1986"
"Fabrizio","Marletta","1986"
"Giri","Egerstedt","1986"
"Greger","Anily","1986"
"Sajjan","Dahlbom","1986"
"Jixiang","Marwedel","1986"
"Arnould","Kavvadias","1986"
"Gianluca","Sevcikova","1986"
"Alain","Gyorkos","1986"
"Kayoko","Walston","1986"
"Mohammad","Yoshimura","1986"
"Takahiro","Milicia","1986"
"Heon","Thorelli","1986"
"Nectarios","Maliniak","1986"
"Lobel","Barvinok","1986"
"Nigel","Iacovou","1986"
"Xumin","Conta","1986"
"Jouni","Boreale","1986"
"Mahmut","Peris","1986"
"Ger","Cooke","1986"
"Wilmer","Lamparter","1986"
"Rimli","Ouhyoung","1986"
"Samphel","Ghemri","1986"
"Weiru","Swift","1986"
"Munenori","Marrevee","1986"
"Marin","Zirintsis","1986"
"Goa","Osgood","1986"
"Sastry","Hitomi","1986"
"Indrajit","Peck","1986"
"Khedija","Schaad","1986"
"Boaz","Melichar","1986"
"Aluzio","Georgakopoulos","1986"
"Supot","Oaver","1986"
"Hatem","Asser","1986"
"Poornachandra","Sudbeck","1986"
"Arnd","Yamaashi","1986"
"Shim","Swick","1986"
"Licheng","Zhang","1986"
"Deborah","Rouquie","1986"
"Mizuhito","Kossowski","1986"
"Takahiro","Matzov","1986"
"Kwangsub","Uhrig","1986"
"Bedrich","Businaro","1986"
"Taizo","Linares","1986"
"Yucel","Rosch","1986"
"Ortrud","Fabrizio","1986"
"Denis","Shackel","1986"
"Basem","Klerer","1986"
"Mayumi","Gustavson","1986"
"Stafford","Kornatzky","1986"
"Cathie","Sessa","1986"
"Souichi","Duclos","1986"
"Byong","Benner","1986"
"Constantino","Krogh","1986"
"Lokesh","Jayawardene","1986"
"Sibyl","Luef","1986"
"Aluzio","Kakkad","1986"
"Tuval","Ruemmler","1986"
"Fun","Rajaraman","1986"
"Hailing","Morrey","1986"
"Marla","Seghrouchni","1986"
"Ronnie","Lichtner","1986"
"Arun","Giarratana","1986"
"Sreekrishna","Duclos","1986"
"Suzette","Schieder","1986"
"Mototsugu","Edelhoff","1986"
"Shakhar","Heuter","1986"
"Jianhao","Peres","1986"
"Doowon","Mukaidono","1986"
"Kish","Ducloy","1986"
"Ronnie","Chartres","1986"
"Makato","Gide","1986"
"Nobuyoshi","Kitsuregawa","1986"
"Uriel","Barreiro","1986"
"Moty","Henders","1986"
"Arfst","Barriga","1986"
"Sanjiv","Plump","1986"
"Luise","Matzat","1986"
"Kristof","Desikan","1986"
"Sandeepan","Mondadori","1986"
"Kwangyoen","Steinauer","1986"
"Sergi","Mitchem","1986"
"Anneke","Munke","1986"
"Marlo","Tiemann","1986"
"Tesuya","Speel","1986"
"Nirmal","Rosis","1986"
"Tetsurou","Garnick","1986"
"Reinhold","Wegerle","1986"
"Vitali","Eickenmeyer","1986"
"Martien","Walstra","1986"
"Maria","Warwick","1986"
"Yifei","Stanger","1986"
"Sreekrishna","Wynblatt","1986"
"Shichao","Tempesti","1986"
"Charmane","Huttel","1986"
"Perla","Beetstra","1986"
"Lorien","Perng","1986"
"Xinglin","Ponthieu","1986"
"Arif","Macedo","1986"
"Licheng","Welham","1986"
"Morrie","Luck","1986"
"Diederik","VanScheik","1986"
"Xiaocheng","Birke","1986"
"Martial","Manderick","1986"
"Ebbe","Silva","1986"
"Muneo","Raoux","1986"
"Fumiyo","Ariola","1986"
"Zhilian","Goodrum","1986"
"Ranan","Weedon","1986"
"Chiradeep","Pettis","1986"
"Nahid","Neiman","1986"
"Sergi","Schiettecatte","1986"
"Janalee","Viele","1986"
"Kazunori","Pintelas","1986"
"Baoqiu","Kakkar","1986"
"Yannis","Onuegbe","1986"
"Tse","Dredge","1986"
"Nidapan","Hoppenstand","1986"
"Toshiki","Katiyar","1986"
"Filipe","Birdsall","1986"
"Chenyi","Leppanen","1986"
"Alper","Beerel","1986"
"Odoardo","Hanabata","1986"
"Arno","Fasbender","1986"
"Lenore","Tiemann","1986"
"Gio","DuBourdieux","1986"
"Kerhong","Underwood","1986"
"Hailing","Collavizza","1986"
"Zhenhua","Adachi","1986"
"Rimon","Shimshoni","1986"
"Mong","Gihr","1986"
"Rosli","Papsdorf","1986"
"Rosalyn","Luke","1986"
"Golgen","Marquardt","1986"
"Shirish","Esteva","1986"
"Goo","Cronin","1986"
"Moni","Jenevein","1986"
"Xiping","Conde","1986"
"Shawna","Reinhart","1986"
"Shawna","Beidas","1986"
"Arvind","Gornas","1986"
"Chaitali","Masamoto","1986"
"Danny","Domenig","1986"
"Junsik","Cools","1986"
"Sungwon","McConalogue","1986"
"Sachin","Karner","1986"
"Niranjan","Khamsi","1986"
"Leucio","Sinicrope","1986"
"Mitchel","Waeselynck","1986"
"Fuqing","Zaiane","1986"
"Hausi","Desikan","1986"
"Vincent","Larfeldt","1986"
"Maik","Jahnichen","1986"
"Bodo","Brookner","1986"
"Yuqun","Bondorf","1986"
"Alair","Hiroyama","1986"
"Hein","Conta","1986"
"Divine","Lupu","1986"
"Arto","Penz","1986"
"Masali","Hagimont","1986"
"Sreekrishna","Alpay","1986"
"Basil","Luit","1986"
"Ioana","Keohane","1986"
"Tooru","Fiutem","1986"
"Udi","Gladwell","1986"
"Randy","Feinberg","1986"
"Ger","Restivo","1986"
"Nahla","Tchuente","1986"
"Akhilish","Passino","1986"
"Adly","Koshino","1986"
"Hisao","Emmart","1986"
"Fabrizio","Azadmanesh","1986"
"Mohd","Androutsos","1986"
"Dipankar","Lindqvist","1986"
"Oscar","Peir","1986"
"Jovan","Hutter","1986"
"Boriana","Ventosa","1986"
"Vesna","Raczkowsky","1986"
"Yannis","Karunanithi","1986"
"Kristen","Ermel","1986"
"Christophe","Emiris","1986"
"Sumali","Kading","1986"
"Patricia","Preusig","1986"
"Tadanori","Birke","1986"
"Kensyu","Jenevein","1986"
"Kotesh","Saoudi","1986"
"Taizo","Stentiford","1986"
"Hidefumi","Dymetman","1986"
"Sachin","Hiraishi","1986"
"JiYoung","Rahier","1986"
"Mingzeng","Kusalik","1986"
"Zsolt","Baca","1986"
"Oldrich","Mapelli","1986"
"JoAnne","Zweizig","1986"
"Richard","Mandelberg","1986"
"Hidefumi","Tokunaga","1986"
"Tran","Yeung","1986"
"Mona","Ligten","1986"
"Ortrud","Cairo","1986"
"Xiaopeng","Czaja","1986"
"Sajjad","Kolinko","1986"
"Dmitri","Hiyoshi","1986"
"Oguz","Angelopoulos","1986"
"Armond","Jahnichen","1986"
"Yechiam","Zaumen","1986"
"Jiann","Chenoweth","1986"
"Feixiong","England","1986"
"Yuichiro","Krider","1986"
"Guadalupe","Anandan","1986"
"Insup","Leaver","1986"
"Cristinel","Peyn","1986"
"Katsuo","Demke","1986"
"Palash","Mundy","1986"
"Erzsebet","Pagter","1986"
"Ghassan","Ferretti","1986"
